processo_id,data_distribuicao,data_ultima_mov,lead_time_days,uf,tipo_acao,valor_causa,risco_cpc25,probabilidade_perda,valor_provisao,custo_defesa,status
PROC-2026-00000,2019-05-22,2025-08-18,2280,SP,Cível - Outros,184166.0,Possível,0.45,92083.0,80503.21,Encerrado
PROC-2026-00001,2019-12-01,2035-04-06,5605,SP,Cível - Outros,168055.29,Provável,0.81,136511.27,202797.12,Ativo
PROC-2026-00002,2016-06-12,2029-12-11,4930,SP,Cível - Indenizatória,188144.78,Provável,0.89,168247.35,328029.28,Ativo
PROC-2026-00003,2018-12-11,2034-11-21,5824,SP,Cível - Execução,457495.09,Possível,0.46,228747.54,347526.98,Encerrado
PROC-2026-00004,2017-07-24,2021-04-14,1360,SP,Cível - Outros,93774.76,Provável,0.87,81294.22,46438.47,Encerrado
PROC-2026-00005,2016-09-24,2026-06-14,3550,SP,Cível - Execução,92594.78,Possível,0.43,46297.39,164958.43,Ativo
PROC-2026-00006,2019-07-06,2025-05-22,2147,SP,Cível - Outros,228309.21,Possível,0.46,114154.61,41861.21,Ativo
PROC-2026-00007,2016-07-10,2023-03-07,2431,SP,Cível - Outros,246134.51,Possível,0.52,123067.25,65220.22,Encerrado
PROC-2026-00008,2018-07-30,2022-01-21,1271,SP,Cível - Outros,68758.34,Provável,0.91,62341.86,68665.16,Encerrado
PROC-2026-00009,2019-10-27,2021-05-23,574,SP,Cível - Outros,131831.31,Provável,0.8,106087.53,10802.56,Encerrado
PROC-2026-00010,2017-04-05,2019-04-01,726,SP,Cível - Outros,452736.23,Possível,0.53,226368.12,25728.88,Ativo
PROC-2026-00011,2015-11-28,2016-09-23,300,SP,Cível - Execução,423767.29,Provável,0.85,358987.43,18067.33,Encerrado
PROC-2026-00012,2018-12-31,2020-09-21,630,SP,Cível - Outros,346790.57,Possível,0.42,173395.29,15483.82,Encerrado
PROC-2026-00013,2019-11-17,2021-12-15,759,SP,Cível - Outros,140655.75,Possível,0.63,70327.87,43276.96,Ativo
